"lengths"	"start"	"cumul"
"488"	2236	0.298333343333333	1132886
"489"	2554	0.298333343333333	1135440
"490"	3063	0.30000001	1138503
"491"	2927	0.301388898888889	1141430
"492"	1501	0.301944454444444	1142931
"493"	1765	0.302222232222222	1144696
"494"	2735	0.302222232222222	1147431
"495"	1139	0.30250001	1148570
"496"	2882	0.304166676666667	1151452
"497"	584	0.304722232222222	1152036
"498"	1214	0.30750001	1153250
"499"	2384	0.307777787777778	1155634
"500"	8008	0.308055565555556	1163642
"501"	1434	0.310555565555556	1165076
"502"	1253	0.311666676666667	1166329
"503"	854	0.312222232222222	1167183
"504"	551	0.31250001	1167734
"505"	10880	0.313888898888889	1178614
"506"	3129	0.314722232222222	1181743
"507"	1343	0.316666676666667	1183086
"508"	10966	0.319722232222222	1194052
"509"	1861	0.321388898888889	1195913
"510"	5070	0.323055565555556	1200983
"511"	1178	0.323888898888889	1202161
"512"	417	0.324166676666667	1202578
"513"	1722	0.324444454444444	1204300
"514"	2565	0.324722232222222	1206865
"515"	4545	0.329166676666667	1211410
"516"	1028	0.329722232222222	1212438
"517"	2365	0.330555565555556	1214803
"518"	3157	0.331388898888889	1217960
"519"	636	0.331666676666667	1218596
"520"	381	0.331944454444444	1218977
"521"	373	0.332222232222222	1219350
"522"	1232	0.333888898888889	1220582
"523"	380	0.334166676666667	1220962
"524"	1356	0.334722232222222	1222318
"525"	6775	0.334722232222222	1229093
"526"	4846	0.33500001	1233939
"527"	1123	0.336111121111111	1235062
"528"	756	0.338611121111111	1235818
"529"	3601	0.339166676666667	1239419
"530"	2825	0.340833343333333	1242244
"531"	1956	0.341111121111111	1244200
"532"	3824	0.341111121111111	1248024
"533"	1627	0.341388898888889	1249651
"534"	1085	0.341666676666667	1250736
"535"	1886	0.341666676666667	1252622
"536"	2539	0.342222232222222	1255161
"537"	1345	0.34750001	1256506
"538"	1482	0.348611121111111	1257988
"539"	9643	0.350833343333333	1267631
"540"	639	0.351666676666667	1268270
"541"	6405	0.351944454444444	1274675
"542"	1082	0.352777787777778	1275757
"543"	754	0.356944454444444	1276511
"544"	1173	0.358055565555556	1277684
"545"	1679	0.358888898888889	1279363
"546"	1426	0.359444454444444	1280789
"547"	669	0.360555565555556	1281458
"548"	1720	0.360555565555556	1283178
"549"	1969	0.361388898888889	1285147
