channel	filename	read_length	exp_starttime	unix_timestamp	duration	unix_timestamp_end	iso_timestamp	day	hour	minute
175	MINION02_4teamawesome_2446_1_ch175_file5_strand.fast5	749	1445624688	1445624949	7	1445624956	2015-10-23T14:29:09-0400	23	14	29
175	MINION02_4teamawesome_2446_1_ch175_file66_strand.fast5	2140	1445624688	1445635750	20	1445635770	2015-10-23T17:29:10-0400	23	17	29
175	MINION02_4teamawesome_2446_1_ch175_file67_strand.fast5	3196	1445624688	1445635792	35	1445635827	2015-10-23T17:29:52-0400	23	17	29
175	MINION02_4teamawesome_2446_1_ch175_file68_strand.fast5	2382	1445624688	1445636425	24	1445636449	2015-10-23T17:40:25-0400	23	17	40
175	MINION02_4teamawesome_2446_1_ch175_file6_strand.fast5	1058	1445624688	1445624970	8	1445624978	2015-10-23T14:29:30-0400	23	14	29
175	MINION02_4teamawesome_2446_1_ch175_file70_strand.fast5	6783	1445624688	1445636533	96	1445636629	2015-10-23T17:42:13-0400	23	17	42
175	MINION02_4teamawesome_2446_1_ch175_file72_strand.fast5	3039	1445624688	1445637447	29	1445637476	2015-10-23T17:57:27-0400	23	17	57
175	MINION02_4teamawesome_2446_1_ch175_file75_strand.fast5	4880	1445624688	1445644889	58	1445644947	2015-10-23T20:01:29-0400	23	20	01
175	MINION02_4teamawesome_2446_1_ch175_file77_strand.fast5	780	1445624688	1445645122	14	1445645136	2015-10-23T20:05:22-0400	23	20	05
175	MINION02_4teamawesome_2446_1_ch175_file82_strand.fast5	7044	1445624688	1445645952	175	1445646127	2015-10-23T20:19:12-0400	23	20	19
175	MINION02_4teamawesome_2446_1_ch175_file88_strand.fast5	2110	1445624688	1445647094	21	1445647115	2015-10-23T20:38:14-0400	23	20	38
175	MINION02_4teamawesome_2446_1_ch175_file8_strand.fast5	1515	1445624688	1445625043	18	1445625061	2015-10-23T14:30:43-0400	23	14	30
175	MINION02_4teamawesome_2446_1_ch175_file9_strand.fast5	4808	1445624688	1445625079	133	1445625212	2015-10-23T14:31:19-0400	23	14	31
177	MINION02_4teamawesome_2446_1_ch177_file11_strand.fast5	1065	1445624688	1445626914	10	1445626924	2015-10-23T15:01:54-0400	23	15	01
177	MINION02_4teamawesome_2446_1_ch177_file12_strand.fast5	3341	1445624688	1445626941	32	1445626973	2015-10-23T15:02:21-0400	23	15	02
177	MINION02_4teamawesome_2446_1_ch177_file14_strand.fast5	5226	1445624688	1445627041	89	1445627130	2015-10-23T15:04:01-0400	23	15	04
177	MINION02_4teamawesome_2446_1_ch177_file21_strand.fast5	1003	1445624688	1445627535	11	1445627546	2015-10-23T15:12:15-0400	23	15	12
177	MINION02_4teamawesome_2446_1_ch177_file22_strand.fast5	3157	1445624688	1445627559	30	1445627589	2015-10-23T15:12:39-0400	23	15	12
177	MINION02_4teamawesome_2446_1_ch177_file26_strand.fast5	1661	1445624688	1445627847	18	1445627865	2015-10-23T15:17:27-0400	23	15	17
